ID_Client,Age,Sexe,Revenu_Annuel,Fréquence_Achat_Mois,Panier_Moyen,Nombre_Commandes,Score_Fidélité,Interactions_RéseauxSociaux,Participation_Programme_Fidélité,Nombre_Retours,Ancienneté_Client,Score_Satisfaction,Nombre_Visites_Site_Web,Dernier_Achat,Total_Dépensé,Type_Produit_Préféré,Panier_Abandonné
61860,35,0,86748,10,446.57,18,97,99,Oui,7,10,19,290,2024-03-19 01:15:56.181747,31263.036,Shampoing,1
81534,73,1,38021,7,285.01,40,68,213,Oui,4,8,85,220,2024-04-28 01:15:56.181747,6707.652,Chaussures,1
66342,76,1,119359,5,245.82,13,95,369,Oui,10,3,71,166,2024-05-09 01:15:56.181747,51077.916,Ordinateur,7
53529,62,1,32128,7,221.57,8,70,126,Non,1,3,48,186,2024-01-27 01:15:56.181747,38415.156,Shampoing,8
99645,58,0,31197,1,54.5,15,87,83,Non,6,3,43,93,2025-03-22 01:15:56.181747,7064.075999999999,Accessoires voiture,6
48708,63,1,88189,5,491.69,28,75,318,Non,4,8,94,202,2024-12-16 01:15:56.181747,44196.336,Accessoires,2
97061,51,0,40908,5,37.79,12,98,751,Oui,2,1,57,195,2024-10-10 01:15:56.181747,31861.02,Accessoires,3
48250,69,0,47795,4,242.23,9,97,511,Oui,3,8,79,251,2024-01-08 01:15:56.181747,21419.784,Chaussures,1
85021,74,1,77160,8,317.33,15,92,740,Oui,6,6,77,160,2024-06-15 01:15:56.181747,43413.9,Boissons,3
35815,62,0,47012,3,270.04,17,92,222,Oui,3,10,39,289,2023-08-13 01:15:56.181747,2110.524,Ordinateur,3
80825,62,0,110047,7,163.32,17,87,189,Non,5,3,32,196,2023-06-23 01:15:56.181747,40983.216,Ordinateur,4
13958,57,0,106111,2,442.6,38,94,42,Non,9,2,23,205,2023-12-02 01:15:56.181747,45187.188,Produits frais,4
79098,49,1,20185,10,276.82,36,75,311,Oui,0,8,88,58,2025-02-07 01:15:56.181747,21314.304,Accessoires,4
77878,37,0,36715,9,326.02,1,99,531,Oui,7,8,100,193,2024-07-04 01:15:56.181747,9698.172,Équipements de sport,1
8392,23,1,68052,4,55.39,20,76,910,Oui,2,7,46,197,2024-05-16 01:15:56.181747,47756.184,Ordinateur,0
26450,79,1,34689,4,444.38,10,73,774,Oui,4,9,46,217,2023-05-21 01:15:56.181747,33540.732,Accessoires,0
17091,76,1,117673,3,403.44,6,98,324,Non,0,1,76,110,2024-04-08 01:15:56.181747,46608.264,Jeux de société,7
42863,50,1,39221,6,141.76,24,75,256,Non,4,9,87,88,2023-06-16 01:15:56.181747,4364.652,Jeux de société,1
63921,72,0,25858,3,478.11,12,65,98,Oui,2,2,50,180,2024-03-17 01:15:56.181747,10368.492,Téléphone,1
53999,31,0,15981,2,118.07,20,89,155,Non,7,3,28,287,2025-02-25 01:15:56.181747,11817.936,Ordinateur,2
96721,19,0,47305,0,125.99,7,96,419,Non,3,5,28,273,2024-08-15 01:15:56.181747,37777.068,Casque audio,5
95230,43,0,106816,1,112.42,24,66,547,Oui,10,9,45,281,2024-05-18 01:15:56.181747,80236.476,Parfums,0
40480,57,1,72887,1,103.06,4,97,409,Non,6,8,100,248,2023-06-14 01:15:56.181747,32227.632,Accessoires,0
19184,41,0,109992,4,292.21,48,93,623,Non,7,2,64,64,2023-10-17 01:15:56.181747,104252.88,Chaussures,4
53866,30,1,90426,3,499.9,4,86,450,Non,6,5,19,156,2023-06-17 01:15:56.181747,94316.256,Linge de maison,7
94921,35,0,35356,2,266.88,28,97,590,Non,9,4,8,238,2024-06-17 01:15:56.181747,11162.724,Téléphone,4
29269,61,1,94635,1,315.77,15,90,435,Oui,10,8,67,214,2023-07-23 01:15:56.181747,92788.236,Trottinette électrique,1
51387,51,1,95474,9,324.18,36,66,852,Non,5,2,22,105,2024-01-25 01:15:56.181747,46174.668,Trottinette électrique,10
44599,40,0,41483,7,282.33,8,71,888,Oui,4,9,57,105,2024-09-21 01:15:56.181747,26747.7,Vêtements,3
74977,34,1,31856,10,498.08,17,76,717,Oui,1,2,1,272,2023-06-28 01:15:56.181747,24617.592,Accessoires,1
45063,57,1,112638,0,405.56,42,77,549,Oui,8,1,80,138,2024-08-18 01:15:56.181747,29153.496000000003,Casque audio,9
14618,75,1,111707,5,208.13,47,64,422,Oui,7,10,89,108,2023-10-05 01:15:56.181747,84827.796,Ordinateur,2
21020,64,1,113089,1,132.33,12,91,792,Non,5,6,84,220,2023-07-22 01:15:56.181747,116536.164,Téléphone,3
22439,67,0,28260,1,405.83,12,94,478,Non,3,7,94,277,2023-04-30 01:15:56.181747,24465.564,Ordinateur,1
28554,40,0,70549,10,31.99,44,65,466,Non,8,2,65,281,2024-03-26 01:15:56.181747,67744.2,Ordinateur,2
62778,72,1,72657,2,408.28,22,87,436,Oui,10,7,30,96,2024-09-05 01:15:56.181747,53411.136,GPS,4
66791,24,1,54614,8,460.73,1,75,534,Oui,10,2,20,153,2024-12-25 01:15:56.181747,9435.3,Trottinette électrique,5
38882,39,0,37736,5,442.09,7,81,497,Oui,6,7,7,221,2024-04-07 01:15:56.181747,23915.352,Équipements de sport,4
81874,60,1,30986,8,192.66,10,84,160,Non,6,5,1,288,2024-06-16 01:15:56.181747,753.984,Accessoires voiture,0
9723,55,0,57676,1,138.75,41,92,456,Non,10,2,20,202,2023-09-28 01:15:56.181747,22648.896,Boissons,5
97160,77,0,54521,5,236.45,28,71,878,Oui,3,2,56,139,2023-10-26 01:15:56.181747,48628.368,Jeux de société,9
96597,70,1,89513,5,155.3,42,63,942,Oui,2,4,34,238,2024-10-29 01:15:56.181747,85764.852,Casque audio,1
58073,55,1,91354,8,86.34,3,79,714,Non,0,8,0,167,2025-03-25 01:15:56.181747,94699.476,Snacks,1
14809,43,1,46072,10,246.38,50,92,71,Oui,9,5,4,90,2024-03-18 01:15:56.181747,32837.556,Vêtements,7
76789,77,1,61659,5,366.36,35,95,171,Non,4,8,17,126,2024-06-30 01:15:56.181747,53543.4,Ordinateur,2
51279,74,0,17248,5,351.22,21,71,135,Oui,1,1,11,199,2023-04-28 01:15:56.181747,14050.872,Casque audio,0
68538,74,0,66067,4,137.34,12,86,792,Non,1,5,0,52,2023-08-22 01:15:56.181747,41264.58,Linge de maison,0
64145,30,1,51884,4,112.95,21,67,490,Non,5,2,3,242,2024-07-25 01:15:56.181747,54856.632,Ordinateur,7
19220,37,0,18694,8,487.58,34,96,71,Oui,8,10,19,187,2024-01-06 01:15:56.181747,11204.532,Vêtements,2
62004,43,0,85476,0,492.51,29,86,58,Oui,3,2,48,134,2024-07-31 01:15:56.181747,24799.704,Vélos,7
94979,30,0,17002,7,455.34,23,83,473,Non,4,4,20,282,2023-12-15 01:15:56.181747,9929.256,Soins visage,1
83463,39,1,30525,9,15.51,50,90,860,Non,4,9,92,86,2024-10-19 01:15:56.181747,17006.579999999998,Ordinateur,5
10093,25,1,53171,10,252.86,46,80,562,Oui,3,6,83,239,2023-04-14 01:15:56.181747,53316.984,Trottinette électrique,1
75351,26,0,96719,7,324.46,22,87,361,Non,4,7,71,59,2024-08-24 01:15:56.181747,112729.392,Snacks,3
69632,75,1,104963,7,128.89,16,72,925,Oui,8,1,33,68,2024-10-31 01:15:56.181747,32139.744,Casque audio,10
37447,61,1,66995,7,63.21,43,65,109,Non,0,9,13,58,2024-01-03 01:15:56.181747,61804.032,Vélos,1
63170,80,0,34782,1,414.89,17,100,246,Oui,10,8,5,85,2024-03-07 01:15:56.181747,13128.804,GPS,3
86227,19,0,23423,10,499.27,14,80,284,Oui,4,6,0,148,2023-04-21 01:15:56.181747,21456.936,Snacks,4
54937,36,0,36539,9,481.17,30,82,664,Non,9,6,80,237,2024-02-12 01:15:56.181747,27893.268,Meubles,2
30744,58,1,64523,2,83.15,32,92,790,Non,4,7,6,292,2024-09-13 01:15:56.181747,66537.336,Accessoires voiture,0
42143,70,1,109677,5,152.47,30,64,39,Oui,0,5,26,223,2024-10-05 01:15:56.181747,93029.316,Soins visage,8
15925,73,0,76514,7,175.28,38,95,515,Oui,3,7,20,133,2025-02-05 01:15:56.181747,16459.872,Casque audio,3
17587,34,1,98957,1,495.13,7,98,582,Oui,9,3,2,118,2024-04-14 01:15:56.181747,110202.9,Accessoires voiture,7
25868,28,0,20671,2,445.71,13,98,373,Oui,5,4,11,262,2024-08-05 01:15:56.181747,1763.196,Ordinateur,7
1132,24,0,85872,4,297.85,6,65,930,Oui,5,6,60,113,2023-04-27 01:15:56.181747,68479.068,GPS,0
35945,26,0,79464,2,382.41,44,88,63,Oui,3,10,74,173,2024-05-24 01:15:56.181747,18333.216,Soins visage,3
37176,29,1,54570,7,481.92,11,82,909,Oui,9,10,28,118,2024-11-24 01:15:56.181747,33622.704,Linge de maison,3
96045,29,0,35118,10,173.08,25,93,85,Non,5,8,20,98,2024-09-19 01:15:56.181747,39556.332,Shampoing,3
38112,21,1,106239,0,63.22,49,87,89,Oui,1,10,94,68,2024-12-28 01:15:56.181747,99631.56,Vélos,1
30402,52,0,100801,7,160.23,33,84,459,Non,5,2,74,281,2023-08-29 01:15:56.181747,115902.048,Accessoires voiture,6
51860,36,0,19310,5,260.82,10,89,18,Oui,6,1,79,298,2024-01-20 01:15:56.181747,14910.383999999998,Produits frais,1
74741,65,1,22062,2,472.6,47,89,984,Non,6,9,99,281,2025-03-23 01:15:56.181747,9543.06,Équipements de sport,1
72450,20,1,90021,10,391.86,6,92,999,Oui,9,8,10,132,2025-01-23 01:15:56.181747,71695.68,Produits frais,3
99201,63,0,102556,7,397.61,45,95,269,Non,10,4,63,286,2023-12-06 01:15:56.181747,93186.636,Ordinateur,1
38136,76,0,91791,3,25.92,17,80,967,Oui,2,4,83,243,2023-12-10 01:15:56.181747,70178.51999999999,Vêtements,4
16910,43,0,47609,9,432.51,4,86,273,Oui,9,1,19,224,2023-04-15 01:15:56.181747,55386.28799999999,Vêtements,1
56468,43,1,105245,7,220.39,21,68,494,Oui,6,9,39,189,2024-01-22 01:15:56.181747,7593.0,Accessoires voiture,1
99708,78,0,67146,5,404.37,50,75,784,Non,0,1,19,284,2024-04-26 01:15:56.181747,4854.552,Produits frais,10
28081,52,0,39377,9,419.62,34,88,908,Oui,0,6,46,206,2025-01-31 01:15:56.181747,36414.672,Jeux de société,0
18535,75,0,119221,8,12.73,19,81,599,Oui,3,6,40,167,2024-01-19 01:15:56.181747,138148.788,Ustensiles de cuisine,3
33281,47,1,109429,10,128.3,3,89,489,Non,9,8,1,112,2024-06-30 01:15:56.181747,47711.532,Vêtements,2
57782,67,0,53146,5,20.15,5,77,613,Oui,7,5,55,144,2023-11-16 01:15:56.181747,20720.76,Produits frais,5
59297,29,1,68789,6,95.3,35,83,563,Oui,4,9,100,54,2023-12-07 01:15:56.181747,32454.996,Ordinateur,6
42769,41,1,109332,0,300.78,41,83,146,Non,10,4,18,227,2024-11-30 01:15:56.181747,106802.724,Jeux de société,0
57299,38,0,93278,2,411.78,17,89,710,Oui,8,10,88,181,2023-04-14 01:15:56.181747,76714.836,Accessoires voiture,2
94629,40,1,24278,0,315.41,4,99,278,Oui,0,10,6,215,2024-02-07 01:15:56.181747,12386.267999999998,Accessoires voiture,2
14651,55,1,108713,4,407.74,23,91,257,Non,0,5,5,253,2023-10-21 01:15:56.181747,75915.636,Accessoires,1
67431,20,1,47260,0,102.95,46,87,553,Non,2,5,18,101,2024-04-07 01:15:56.181747,3140.052,Vêtements,3
94612,22,0,16332,5,387.93,26,80,202,Oui,1,9,9,292,2023-09-23 01:15:56.181747,18541.752,Ordinateur,4
49879,18,0,58942,5,331.72,29,94,741,Non,8,4,89,266,2023-09-30 01:15:56.181747,22966.068,Vêtements,6
1974,70,0,41346,8,415.55,11,66,514,Non,6,4,50,198,2023-06-02 01:15:56.181747,47881.056,Shampoing,4
41488,75,1,74669,4,84.41,14,84,941,Oui,2,7,29,255,2024-06-16 01:15:56.181747,14115.551999999998,Soins visage,3
2302,31,1,17976,6,286.82,24,74,671,Non,8,10,61,240,2024-03-18 01:15:56.181747,20877.876,Chaussures,0
45397,32,0,115863,7,268.51,48,72,115,Oui,10,8,57,198,2024-01-17 01:15:56.181747,15786.528,Produits frais,0
61530,54,0,88728,4,164.78,20,79,795,Oui,0,8,72,268,2024-02-03 01:15:56.181747,19268.016,Accessoires voiture,0
75520,70,0,66550,0,101.52,45,97,777,Oui,5,4,19,299,2023-11-16 01:15:56.181747,4584.432,Produits frais,2
75684,52,1,110138,7,94.71,21,87,445,Non,9,5,86,238,2023-04-29 01:15:56.181747,107872.92,Casque audio,3
82747,26,1,24596,6,389.89,14,89,595,Oui,9,4,11,226,2023-09-14 01:15:56.181747,29351.52,Chaussures,5
68677,69,1,82698,7,115.64,15,70,69,Non,8,1,31,133,2024-10-16 01:15:56.181747,9729.708,Soins visage,4
67945,28,0,69467,8,267.19,39,96,159,Oui,0,9,58,131,2023-08-14 01:15:56.181747,67391.928,Snacks,3
54745,54,0,53041,10,12.15,2,79,420,Oui,8,7,37,233,2023-12-12 01:15:56.181747,21352.824,Accessoires,3
70016,60,1,72252,8,321.57,26,92,214,Oui,0,5,74,123,2024-08-24 01:15:56.181747,80351.37599999999,Linge de maison,2
15320,53,0,19955,1,486.81,42,86,562,Non,1,9,36,65,2024-12-02 01:15:56.181747,18741.096,Parfums,1
34361,22,1,115352,0,458.63,31,67,672,Oui,6,2,44,182,2024-01-31 01:15:56.181747,43542.36,Vêtements,5
5742,22,0,85639,1,262.48,23,88,164,Non,4,10,96,143,2024-02-28 01:15:56.181747,66735.684,Vélos,1
97284,64,0,86240,1,167.73,50,92,50,Oui,1,1,54,281,2024-10-19 01:15:56.181747,82271.472,Snacks,0
88631,74,1,22772,4,345.52,7,75,130,Non,2,9,85,243,2023-05-09 01:15:56.181747,11360.544,Vélos,0
96950,59,1,113528,2,294.0,14,71,508,Non,7,1,29,76,2024-05-13 01:15:56.181747,134356.728,Meubles,0
43900,23,1,111890,2,83.78,26,98,324,Oui,8,8,77,219,2025-02-09 01:15:56.181747,73189.62,Ordinateur,3
52591,74,0,75444,6,313.36,33,73,327,Non,2,5,89,96,2023-03-30 01:15:56.181747,1513.68,Parfums,3
25971,72,1,17911,4,487.76,43,67,413,Oui,0,1,12,265,2023-10-27 01:15:56.181747,13876.224,Équipements de sport,4
78470,27,0,62865,10,184.54,30,85,660,Oui,10,10,92,247,2024-11-21 01:15:56.181747,37475.676,Téléphone,5
24535,64,1,80757,3,177.58,1,86,532,Oui,10,10,62,239,2024-09-11 01:15:56.181747,86745.21599999999,Parfums,4
4565,53,0,98034,4,142.8,43,75,258,Non,9,9,18,258,2025-01-23 01:15:56.181747,57905.256,Meubles,1
7096,73,0,58212,1,21.98,22,84,554,Non,0,3,100,156,2024-02-01 01:15:56.181747,8401.872,Meubles,6
67444,19,1,56396,5,481.66,13,97,207,Oui,5,5,69,157,2024-08-16 01:15:56.181747,8482.368,Accessoires voiture,5
86876,56,1,44890,2,13.54,14,76,188,Oui,5,6,75,252,2023-11-15 01:15:56.181747,25451.592,Vêtements,4
21921,56,0,17177,3,367.02,13,91,914,Oui,9,4,88,264,2023-08-26 01:15:56.181747,18029.424,Shampoing,4
67078,65,1,109485,10,465.08,10,73,408,Oui,3,3,60,188,2024-12-16 01:15:56.181747,95645.232,Shampoing,6
55500,29,1,68747,1,340.38,28,77,390,Non,2,1,82,281,2025-01-27 01:15:56.181747,7448.808,Équipements de sport,6
76559,37,0,91422,3,169.64,16,83,757,Non,10,6,85,70,2023-07-15 01:15:56.181747,93902.436,Parfums,2
68181,44,0,33712,1,312.18,49,91,355,Non,0,1,20,115,2024-11-06 01:15:56.181747,8579.16,Accessoires voiture,1
24687,73,1,117574,7,280.93,35,73,791,Non,2,5,43,131,2023-04-14 01:15:56.181747,103282.068,Trottinette électrique,5
26496,51,0,36498,1,458.55,9,88,17,Non,9,9,23,183,2025-02-19 01:15:56.181747,10694.952,Accessoires,3
2360,33,0,100384,4,359.24,9,91,753,Non,10,3,56,293,2023-04-21 01:15:56.181747,20564.076,Casque audio,2
49288,48,0,64092,3,335.94,16,98,249,Oui,2,5,63,95,2024-10-16 01:15:56.181747,70676.976,Shampoing,6
90675,18,0,35023,6,293.74,43,76,17,Oui,3,10,90,159,2024-01-18 01:15:56.181747,8149.98,Soins visage,5
46590,67,0,89270,4,179.84,44,68,648,Oui,4,4,37,245,2023-09-18 01:15:56.181747,37269.372,Shampoing,9
15130,57,1,88812,2,58.2,10,63,857,Oui,1,2,86,115,2024-10-31 01:15:56.181747,21589.728,GPS,4
44648,27,0,63600,8,298.57,16,88,451,Oui,4,1,99,281,2023-04-13 01:15:56.181747,3403.908,Ustensiles de cuisine,6
4547,80,1,114429,3,180.01,4,64,536,Oui,3,2,43,211,2023-06-04 01:15:56.181747,123373.32,Vêtements,2
12972,67,0,43230,5,364.53,5,94,99,Non,2,3,19,96,2025-01-26 01:15:56.181747,17993.424,Soins visage,0
33631,31,1,45476,5,408.86,29,98,6,Non,7,3,93,182,2025-03-20 01:15:56.181747,43509.12,Ordinateur,2
27306,58,1,51708,2,332.85,40,76,22,Non,2,6,100,84,2023-07-26 01:15:56.181747,59315.508,Parfums,6
73552,72,0,75866,1,84.77,38,90,234,Oui,5,3,32,137,2024-04-04 01:15:56.181747,44499.42,Snacks,7
40319,26,0,41181,5,291.21,11,83,214,Oui,8,10,98,281,2024-07-18 01:15:56.181747,27779.28,Boissons,4
97733,55,1,24756,6,367.8,33,88,832,Oui,9,4,42,222,2024-05-21 01:15:56.181747,13218.0,Parfums,3
48039,67,1,86435,0,152.3,50,99,294,Non,8,7,10,216,2023-07-04 01:15:56.181747,74570.484,Produits frais,1
71199,46,1,54600,1,288.41,6,95,299,Oui,10,4,33,64,2024-06-18 01:15:56.181747,10487.952,Équipements de sport,5
88473,79,1,25124,5,374.51,29,80,709,Oui,8,6,4,121,2025-03-19 01:15:56.181747,28802.268,Trottinette électrique,3
21367,40,1,23879,6,77.1,22,72,628,Non,1,6,60,180,2024-06-09 01:15:56.181747,23708.22,GPS,1
29035,66,0,27518,1,170.56,49,89,893,Non,1,4,30,214,2024-03-10 01:15:56.181747,15689.52,Shampoing,3
33770,57,1,21831,3,309.22,36,99,838,Oui,6,7,59,89,2023-05-26 01:15:56.181747,18156.9,Vêtements,1
10999,65,1,61193,3,383.62,35,96,596,Oui,2,3,38,148,2024-11-10 01:15:56.181747,31007.184,Vélos,3
7384,75,1,55099,3,28.78,25,73,671,Oui,10,3,92,224,2023-12-03 01:15:56.181747,236.28,GPS,3
55837,22,0,24239,1,268.35,9,82,582,Non,0,4,93,121,2025-03-04 01:15:56.181747,11700.012,Ordinateur,5
54038,50,1,47121,9,238.96,1,82,159,Oui,2,1,100,271,2023-07-22 01:15:56.181747,55128.804,Linge de maison,1
46018,55,1,87474,5,150.88,37,83,492,Oui,3,1,3,172,2023-08-19 01:15:56.181747,30474.804,Accessoires,0
29971,65,0,61528,2,328.08,24,81,967,Non,0,8,77,83,2025-01-17 01:15:56.181747,32114.796,Vélos,2
10125,34,1,21735,7,250.55,4,64,923,Non,3,5,32,176,2024-01-11 01:15:56.181747,17410.775999999998,Vélos,9
47222,36,0,40319,0,15.54,28,93,631,Oui,6,1,35,215,2024-12-23 01:15:56.181747,30731.172,Téléphone,3
62980,69,1,79422,1,281.38,6,66,637,Non,7,1,53,276,2024-05-20 01:15:56.181747,87119.112,Ustensiles de cuisine,6
75909,76,0,28426,4,293.59,37,79,354,Oui,0,7,21,152,2025-01-15 01:15:56.181747,10375.62,Ustensiles de cuisine,0
16197,60,0,19348,4,109.37,11,81,635,Non,6,5,23,299,2024-04-19 01:15:56.181747,397.392,Parfums,2
5225,23,0,46998,7,106.58,15,88,692,Oui,10,4,99,154,2023-12-19 01:15:56.181747,2372.256,Vêtements,4
94788,63,0,105842,7,299.95,46,70,841,Non,1,1,45,115,2024-03-06 01:15:56.181747,13572.48,Vêtements,4
8842,44,0,59102,10,344.08,18,83,384,Oui,8,3,85,201,2025-03-14 01:15:56.181747,7893.179999999999,Équipements de sport,6
12845,26,1,89999,10,233.65,34,93,279,Oui,4,5,20,74,2024-02-10 01:15:56.181747,44850.42,Accessoires,2
33220,48,1,28537,2,228.92,1,90,133,Non,0,5,83,78,2024-04-12 01:15:56.181747,19862.544,Linge de maison,0
98282,80,0,83884,1,18.09,19,84,557,Oui,5,3,38,161,2024-01-12 01:15:56.181747,27344.112,Soins visage,7
76637,20,1,36304,10,64.44,23,92,739,Oui,5,7,79,88,2025-02-25 01:15:56.181747,31995.756,Vélos,3
2774,47,0,88668,7,365.51,35,76,66,Oui,9,7,81,145,2024-02-14 01:15:56.181747,65096.568,Vêtements,0
39287,72,0,115077,7,241.38,11,78,931,Oui,7,3,90,197,2024-04-08 01:15:56.181747,21467.796,Accessoires,4
82010,67,1,72951,5,400.04,23,99,348,Non,1,8,100,129,2023-09-29 01:15:56.181747,63228.732,Accessoires voiture,2
36087,75,0,90553,6,423.3,3,92,806,Oui,4,9,89,56,2024-09-16 01:15:56.181747,56352.612,Produits frais,3
32882,32,0,49147,8,403.09,34,91,656,Non,4,6,26,286,2023-05-11 01:15:56.181747,19340.592,Ustensiles de cuisine,3
22128,75,0,18474,1,97.72,35,85,931,Oui,3,8,52,98,2024-02-14 01:15:56.181747,18941.076,Snacks,4
55478,71,1,62946,8,123.69,28,88,627,Non,5,4,37,127,2023-10-31 01:15:56.181747,19443.024,Linge de maison,7
67947,21,0,78481,2,283.87,30,88,835,Oui,7,7,94,225,2025-03-16 01:15:56.181747,59010.9,Équipements de sport,1
11517,77,0,60281,9,155.72,30,77,694,Oui,8,9,50,285,2024-11-27 01:15:56.181747,13986.696,Vêtements,2
78815,60,0,31630,4,77.65,8,84,211,Oui,4,8,48,259,2023-10-22 01:15:56.181747,21811.728,Accessoires voiture,1
17221,37,0,60947,2,280.88,35,97,910,Non,9,6,67,118,2025-02-25 01:15:56.181747,29399.604,Ordinateur,0
51698,73,1,38704,8,379.56,46,78,709,Oui,5,1,59,269,2024-01-24 01:15:56.181747,16293.455999999998,Trottinette électrique,1
67188,51,1,98190,7,318.75,7,73,244,Non,6,8,94,96,2024-06-15 01:15:56.181747,44895.876,Boissons,0
16071,37,1,101898,4,72.82,48,95,702,Oui,6,1,30,194,2024-08-24 01:15:56.181747,35648.292,Meubles,0
2529,32,1,56561,5,175.25,44,86,669,Oui,3,4,9,154,2025-03-09 01:15:56.181747,44646.528,Linge de maison,6
3832,18,1,106542,0,82.83,28,88,745,Oui,0,2,38,265,2024-01-28 01:15:56.181747,23800.368,Accessoires voiture,0
29469,18,0,52873,9,19.12,3,87,221,Oui,10,1,34,108,2024-05-02 01:15:56.181747,45281.556,Ordinateur,0
27125,80,0,73374,6,465.12,29,89,789,Oui,1,2,48,140,2023-07-08 01:15:56.181747,76878.504,Chaussures,1
53925,51,1,76836,6,94.76,37,96,677,Oui,2,6,100,76,2025-01-08 01:15:56.181747,91416.756,Meubles,6
20183,41,1,24393,10,48.03,13,98,970,Oui,2,3,53,161,2024-01-20 01:15:56.181747,23447.46,Téléphone,5
70874,44,1,74935,1,52.41,9,65,712,Non,4,9,15,81,2023-12-30 01:15:56.181747,67639.88399999999,GPS,1
51359,51,0,78353,5,62.1,16,86,346,Non,3,9,97,102,2023-05-06 01:15:56.181747,43608.32399999999,Ordinateur,4
78235,73,0,33865,9,440.02,26,96,745,Oui,6,8,50,216,2025-02-28 01:15:56.181747,25502.148,Accessoires,0
69540,57,0,51014,1,460.04,13,92,586,Non,10,8,35,59,2024-05-25 01:15:56.181747,31809.972,Téléphone,2
4907,74,0,90343,9,165.13,15,92,375,Oui,4,2,20,298,2025-03-15 01:15:56.181747,62398.152,Vêtements,7
14721,20,0,21595,0,129.44,20,72,596,Non,7,3,43,234,2024-09-06 01:15:56.181747,18903.696,Accessoires,4
67616,54,0,59162,2,239.63,16,71,268,Oui,0,3,27,290,2024-12-15 01:15:56.181747,61317.66,Ustensiles de cuisine,7
22817,65,0,37742,10,297.72,19,64,911,Oui,2,4,44,113,2023-07-31 01:15:56.181747,19738.404,Soins visage,4
40753,23,0,64032,2,196.35,44,81,586,Non,0,8,26,76,2024-02-29 01:15:56.181747,34384.848,Ustensiles de cuisine,0
65669,63,0,39459,7,339.2,4,82,625,Non,1,10,18,210,2024-04-19 01:15:56.181747,42849.96,Trottinette électrique,3
16191,43,1,15305,8,233.76,48,75,701,Oui,8,2,66,261,2024-06-29 01:15:56.181747,4457.532,GPS,5
20644,32,0,119259,0,298.68,31,99,636,Non,8,9,33,227,2024-02-02 01:15:56.181747,6300.947999999999,Vélos,4
1427,26,1,82767,6,485.95,34,73,470,Non,9,9,94,81,2024-04-21 01:15:56.181747,98244.468,Téléphone,2
75408,56,1,104027,6,147.16,44,73,297,Oui,10,10,53,185,2024-09-15 01:15:56.181747,93336.24,Meubles,2
60117,50,1,51143,1,266.7,31,78,531,Non,8,1,43,226,2024-02-27 01:15:56.181747,19016.64,Ustensiles de cuisine,2
92370,38,1,70392,2,233.19,23,71,615,Non,8,3,26,155,2023-12-10 01:15:56.181747,56693.7,Équipements de sport,9
618,58,0,32132,9,469.37,28,82,931,Oui,6,10,28,82,2023-08-16 01:15:56.181747,5339.052,Ustensiles de cuisine,1
22355,53,0,78648,5,382.27,46,99,104,Non,0,7,76,87,2024-10-30 01:15:56.181747,86121.264,Ustensiles de cuisine,1
11924,38,0,102195,4,278.36,8,96,957,Oui,3,4,58,122,2024-01-24 01:15:56.181747,119191.644,Casque audio,7
